,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2
90,322.4,1752.3,1856.3,635.7,1660.7,1955.3,1730.2,1900.2,307.6,1604.4,1692.3,1314.9,1747.9,1955.5,1652.7,1776.0,311.9,2180.3,2229.3,1928.3,2130.5,1855.0,2052.0,2243.4,312.9,2114.9,2135.4,1969.4,2196.1,1902.5,1984.7,2017.9,303.9,2244.9,2315.8,1769.5,2440.4,2064.9,2262.7,2438.5,312.6,2083.7,1329.9,1495.7,2271.4,1561.3,2258.1,2648.6
91,322.3,1749.4,1862.7,635.8,1664.7,1965.6,1729.1,1895.9,307.6,1600.7,1692.6,1319.0,1751.8,1974.6,1662.7,1768.0,311.9,2182.7,2231.4,1933.2,2133.6,1858.2,2051.6,2252.8,312.7,2125.2,2130.8,1977.6,2204.6,1905.7,1976.4,2041.5,303.8,2240.6,2334.8,1810.7,2467.0,2085.3,2268.9,2475.8,312.7,2099.0,1350.1,1527.1,2290.8,1573.7,2260.5,2648.3
92,322.3,1750.5,1859.6,635.5,1671.6,1964.6,1736.7,1895.5,307.2,1590.4,1709.7,1315.5,1761.1,1973.4,1659.9,1770.2,311.8,2179.8,2226.8,1928.5,2140.2,1864.5,2049.1,2253.8,312.8,2129.7,2144.4,1975.4,2202.3,1913.0,1973.8,2037.6,303.6,2241.7,2314.9,1842.9,2476.1,2083.1,2280.1,2498.7,312.6,2104.7,1375.1,1555.9,2309.0,1596.6,2254.6,2642.3
93,322.2,1759.4,1859.0,635.0,1673.4,1955.5,1737.9,1895.8,307.5,1593.7,1705.1,1317.3,1761.6,1980.3,1666.9,1772.0,311.7,2186.4,2232.9,1939.1,2143.9,1868.3,2044.0,2253.7,312.9,2133.4,2137.7,1977.9,2200.9,1923.7,1982.5,2050.7,303.9,2234.2,2328.8,1876.7,2501.8,2080.2,2287.6,2504.3,312.8,2111.9,1394.2,1576.0,2327.3,1612.5,2258.0,2640.7
94,322.1,1763.6,1865.3,635.4,1668.4,1955.8,1730.9,1898.7,307.3,1595.3,1709.4,1316.0,1767.7,1984.1,1664.1,1769.6,311.7,2184.6,2244.8,1940.8,2145.3,1862.1,2052.3,2265.3,312.7,2144.4,2130.9,1978.3,2192.6,1921.3,1975.2,2054.1,303.6,2242.2,2319.4,1900.8,2519.9,2085.2,2290.4,2508.0,312.3,2122.6,1417.1,1592.8,2348.7,1639.6,2262.1,2636.8
95,322.0,1765.9,1867.8,635.4,1671.2,1958.9,1726.2,1897.8,307.1,1591.6,1715.7,1312.6,1770.6,1982.8,1662.9,1770.3,311.6,2191.5,2251.3,1955.8,2150.0,1868.1,2055.5,2273.6,312.9,2148.5,2128.5,1976.0,2195.4,1915.8,1970.0,2064.7,303.8,2242.1,2313.5,1931.3,2550.3,2082.1,2289.0,2524.0,312.7,2134.9,1432.4,1614.2,2358.1,1657.6,2259.8,2632.1
96,322.1,1775.2,1872.8,635.6,1669.1,1962.5,1725.5,1901.1,307.2,1585.4,1722.5,1320.3,1768.9,1991.1,1655.0,1774.2,311.6,2198.5,2255.1,1968.3,2149.2,1879.9,2054.5,2281.1,312.6,2152.0,2139.1,1976.0,2210.0,1926.8,1978.1,2075.8,303.6,2238.1,2312.4,1963.1,2571.1,2094.3,2301.8,2535.1,312.0,2140.7,1451.9,1643.7,2378.4,1678.9,2267.0,2633.4
97,321.9,1772.3,1873.5,634.9,1677.0,1961.4,1722.3,1896.4,307.3,1587.2,1723.8,1320.8,1776.2,1998.5,1661.0,1783.2,311.5,2190.8,2249.3,1974.5,2150.0,1890.0,2049.9,2288.4,312.7,2155.9,2139.9,1971.3,2214.9,1934.3,1982.1,2067.2,303.6,2238.6,2313.7,1982.4,2587.3,2101.8,2297.1,2543.4,312.7,2134.9,1472.4,1664.3,2398.1,1696.5,2271.3,2626.1
98,321.9,1774.0,1878.8,635.3,1680.0,1963.0,1727.4,1900.2,306.8,1585.9,1723.2,1319.7,1778.8,1999.5,1659.4,1782.6,311.6,2193.2,2244.1,1988.2,2151.9,1897.0,2046.1,2294.3,312.7,2154.3,2156.3,1967.9,2202.4,1932.3,1979.7,2075.4,303.2,2249.7,2314.5,1995.7,2589.0,2105.0,2287.7,2560.6,312.2,2124.7,1500.5,1696.0,2424.3,1724.2,2279.7,2626.6
99,321.9,1782.8,1879.9,635.2,1674.1,1961.1,1730.2,1898.1,307.1,1589.9,1723.1,1322.8,1780.6,1984.5,1656.2,1783.1,311.5,2200.6,2245.2,1986.2,2154.8,1906.1,2035.3,2292.7,312.3,2152.6,2161.6,1978.6,2202.7,1931.1,1994.9,2080.7,303.5,2250.2,2322.6,2020.1,2594.4,2098.8,2291.2,2570.5,312.6,2133.0,1520.5,1716.1,2444.1,1748.1,2289.6,2631.2
100,321.6,1784.6,1877.3,635.0,1682.8,1978.8,1729.9,1898.2,306.8,1594.4,1723.5,1327.4,1774.5,1989.6,1662.5,1779.8,311.3,2206.9,2254.2,1994.9,2156.3,1906.9,2036.0,2301.3,312.5,2162.1,2158.4,1989.5,2210.6,1928.2,1997.5,2071.3,303.3,2243.2,2324.2,2037.2,2610.4,2098.9,2298.6,2587.5,312.0,2139.0,1546.4,1735.0,2452.5,1773.7,2301.4,2636.0
101,321.8,1786.8,1878.4,635.1,1678.3,1986.4,1725.4,1898.4,306.8,1588.8,1729.2,1324.8,1776.5,2004.5,1656.7,1768.1,311.2,2208.9,2252.9,1995.3,2155.2,1901.7,2047.3,2303.0,312.4,2158.4,2155.0,1988.9,2205.4,1928.8,1997.0,2077.2,303.4,2234.1,2316.0,2060.9,2605.3,2105.3,2295.6,2599.2,312.4,2132.4,1567.0,1754.2,2477.7,1789.2,2305.3,2635.6
